cluster,report_count,top_violation_categories,top_age_groups,top_relationships,top_settings
16,12,LIBERDADE > SEXUAL (12); INTEGRIDADE > PSÍQUICA (7); INTEGRIDADE > NEGLIGÊNCIA (3),09 ANOS (2); 13 ANOS (2); 15 ANOS (2),PADRASTO/MADRASTA (4); DESCONHECIDO(A) (2); LÍDER RELIGIOSO(A) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (5); CASA DA VÍTIMA (3); CASA DO SUSPEITO (2)
17,23,INTEGRIDADE > PSÍQUICA (23); INTEGRIDADE > FÍSICA (19); INTEGRIDADE > NEGLIGÊNCIA (15),35 A 39 ANOS (7); 50 A 54 ANOS (3); 60 A 64 ANOS (3),OUTROS (7); FILHO(A) (4); DESCONHECIDO(A) (3),CASA DA VÍTIMA (13); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (4); INSTITUIÇÃO DE ENSINO (2)
18,21,INTEGRIDADE > NEGLIGÊNCIA (16); INTEGRIDADE > FÍSICA (15); INTEGRIDADE > PSÍQUICA (8),80 A 84 ANOS (3); 13 ANOS (2); 14 ANOS (2),FILHO(A) (6); MÃE (3); OUTROS (3),CASA DA VÍTIMA (13); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (3); CASA DO SUSPEITO (2)
19,22,INTEGRIDADE > FÍSICA (22); INTEGRIDADE > PSÍQUICA (22); INTEGRIDADE > NEGLIGÊNCIA (20),10 ANOS (7); 15 ANOS (4); 05 ANOS (3),MÃE (15); PAI (4); FILHO(A) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (21); CASA DA VÍTIMA (1)
20,15,INTEGRIDADE > FÍSICA (15); INTEGRIDADE > NEGLIGÊNCIA (15); INTEGRIDADE > PSÍQUICA (15),70 A 74 ANOS (5); 80 A 84 ANOS (2); 85 A 89 ANOS (2),FILHO(A) (10); OUTROS (2); IRMÃO(Ã) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (14); CASA DA VÍTIMA (1)
21,13,INTEGRIDADE > FÍSICA (13); INTEGRIDADE > NEGLIGÊNCIA (13); INTEGRIDADE > PSÍQUICA (12),85 A 89 ANOS (7); 80 A 84 ANOS (2); 20 A 24 ANOS (1),FILHO(A) (8); GENRO/NORA (1); IRMÃO(Ã) (1),CASA DA VÍTIMA (7); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (5); CASA DO SUSPEITO (1)
22,28,INTEGRIDADE > FÍSICA (22); INTEGRIDADE > PSÍQUICA (22); INTEGRIDADE > NEGLIGÊNCIA (13),75 A 79 ANOS (7); 70 A 74 ANOS (6); 80 A 84 ANOS (3),FILHO(A) (18); VIZINHO(A) (5); COMPANHEIRO(A) (1),CASA DA VÍTIMA (11); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (11); CASA DE FAMILIARES (2)
23,20,INTEGRIDADE > FÍSICA (18); INTEGRIDADE > NEGLIGÊNCIA (18); INTEGRIDADE > PSÍQUICA (17),05 ANOS (5); 01 ANO (2); 02 ANOS (2),MÃE (12); PAI (3); TIO(A) (2),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (11); CASA DA VÍTIMA (3); CASA DO SUSPEITO (2)
24,20,INTEGRIDADE > NEGLIGÊNCIA (18); INTEGRIDADE > FÍSICA (16); INTEGRIDADE > PSÍQUICA (16),70 A 74 ANOS (5); 12 ANOS (2); 13 ANOS (2),OUTROS (5); EMPREGADOR/PATRÃO (HIERARQUICAMENTE SUPERIOR) (3); DIRETOR/GESTOR DE INSTITUIÇÃO (2),CASA DA VÍTIMA (7); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (4); OUTROS (2)
25,25,INTEGRIDADE > FÍSICA (21); INTEGRIDADE > NEGLIGÊNCIA (20); INTEGRIDADE > PSÍQUICA (18),02 ANOS (4); 05 ANOS (3); 06 ANOS (3),MÃE (16); PAI (7); AVÔ(Ó) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (24); CASA DE TERCEIRO (1)
26,11,INTEGRIDADE > PSÍQUICA (11); INTEGRIDADE > FÍSICA (7); INTEGRIDADE > NEGLIGÊNCIA (7),13 ANOS (3); 14 ANOS (3); 15 ANOS (2),PADRASTO/MADRASTA (4); MÃE (2); ALUNO(A) (1),CASA DA VÍTIMA (3); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (3); INSTITUIÇÃO DE ENSINO (2)
27,11,INTEGRIDADE > NEGLIGÊNCIA (9); INTEGRIDADE > FÍSICA (4); INTEGRIDADE > PSÍQUICA (3),02 ANOS (2); 06 ANOS (2); 13 ANOS (2),MÃE (9); AVÔ(Ó) (1); FILHO(A) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (8); CASA DA VÍTIMA (3)
28,6,INTEGRIDADE > FÍSICA (6); INTEGRIDADE > NEGLIGÊNCIA (5); INTEGRIDADE > PSÍQUICA (2),65 A 69 ANOS (3); 20 A 24 ANOS (1); 75 A 79 ANOS (1),FILHO(A) (2); ESPOSA(O) (1); IRMÃO(Ã) (1),CASA DA VÍTIMA (4); OUTROS (1); VIA PÚBLICA (1)
29,7,LIBERDADE > SEXUAL (7); INTEGRIDADE > FÍSICA (6); INTEGRIDADE > PSÍQUICA (6),10 ANOS (2); 12 ANOS (2); 13 ANOS (2),AMIGO(A) (2); AMIGO(A) DA FAMÍLIA (1); AVÔ(Ó) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (3); INSTITUIÇÃO DE ENSINO (2); CASA DE FAMILIARES (1)
